from,to,vote,relationship,year,weight
Granit Xhaka,Ousmane Dembélé,5,4,2025,NA
Granit Xhaka,Achraf Hakimi,3,4,2025,NA
Granit Xhaka,Lamine Yamal,1,4,2025,NA
Granit Xhaka,Lionel Messi,5,4,2023,NA
Granit Xhaka,Erling Haaland,3,4,2023,NA
Granit Xhaka,Kylian Mbappé,1,4,2023,NA
Granit Xhaka,Florian Wirtz,5,2,2024,NA
Granit Xhaka,Toni Kroos,3,4,2024,NA
Granit Xhaka,Vinícius Jr,1,4,2024,NA
Murat Yakin,Lamine Yamal,5,4,2025,NA
Murat Yakin,Ousmane Dembélé,3,4,2025,NA
Murat Yakin,Kylian Mbappé,1,4,2025,NA
Murat Yakin,Lionel Messi,5,4,2023,NA
Murat Yakin,Julián Álvarez,3,4,2023,NA
Murat Yakin,Kylian Mbappé,1,4,2023,NA
Murat Yakin,Florian Wirtz,5,4,2024,NA
Murat Yakin,Federico Valverde,3,4,2024,NA
Murat Yakin,Lamine Yamal,1,4,2024,NA
Tobias Wedermann,Ousmane Dembélé,5,4,2025,NA
Tobias Wedermann,Mohamed Salah,3,4,2025,NA
Tobias Wedermann,Vitinha,1,4,2025,NA
Tobias Wedermann,Erling Haaland,5,4,2023,NA
Tobias Wedermann,Kylian Mbappé,3,4,2023,NA
Tobias Wedermann,Kevin De Bruyne,1,4,2023,NA
Tobias Wedermann,Rodri,5,4,2024,NA
Tobias Wedermann,Vinícius Jr,3,4,2024,NA
Tobias Wedermann,Jude Bellingham,1,4,2024,NA
Wataru Endo,Mohamed Salah,5,2,2025,NA
Wataru Endo,Ousmane Dembélé,3,4,2025,NA
Wataru Endo,Nuno Mendes,1,4,2025,NA
Wataru Endo,Kevin De Bruyne,5,4,2023,NA
Wataru Endo,Erling Haaland,3,4,2023,NA
Wataru Endo,Lionel Messi,1,4,2023,NA
Wataru Endo,Jude Bellingham,5,4,2024,NA
Wataru Endo,Vinícius Jr,3,4,2024,NA
Wataru Endo,Rodri,1,4,2024,NA
Hajime Moriyasu,Kylian Mbappé,5,4,2025,NA
Hajime Moriyasu,Lamine Yamal,3,4,2025,NA
Hajime Moriyasu,Achraf Hakimi,1,4,2025,NA
Hajime Moriyasu,Kylian Mbappé,5,4,2023,NA
Hajime Moriyasu,Erling Haaland,3,4,2023,NA
Hajime Moriyasu,Lionel Messi,1,4,2023,NA
Hajime Moriyasu,Rodri,5,4,2024,NA
Hajime Moriyasu,Erling Haaland,3,4,2024,NA
Hajime Moriyasu,Kylian Mbappé,1,4,2024,NA
Hideo Tamaru,Ousmane Dembélé,5,4,2025,NA
