from,to,vote,relationship,year
Néstor Lorenzo,Lionel Messi,5,4,2024
Néstor Lorenzo,Jude Bellingham,3,4,2024
Néstor Lorenzo,Vinícius Jr,1,4,2024
Diego Rueda ,Ousmane Dembélé,5,4,2025
Diego Rueda ,Lamine Yamal,3,4,2025
Diego Rueda ,Vitinha,1,4,2025
Diego Rueda,Erling Haaland,5,4,2023
Diego Rueda,Kevin De Bruyne,3,4,2023
Diego Rueda,Rodri,1,4,2023
Diego Rueda ,Rodri,5,4,2024
Diego Rueda ,Vinícius Jr,3,4,2024
Diego Rueda ,Lamine Yamal,1,4,2024
Radamel Falcao Garcia Zarate,Lionel Messi,5,4,2023
Radamel Falcao Garcia Zarate,Kylian Mbappé,3,4,2023
Radamel Falcao Garcia Zarate,Bernardo Silva,1,4,2023
Tim Ream,Ousmane Dembélé,5,4,2025
Tim Ream,Kylian Mbappé,3,4,2025
Tim Ream,Nuno Mendes,1,4,2025
Tim Ream,Rodri,5,4,2024
Tim Ream,Vinícius Jr,3,4,2024
Tim Ream,Jude Bellingham,1,4,2024
Mauricio Pochettino,Ousmane Dembélé,5,4,2025
Mauricio Pochettino,Kylian Mbappé,3,4,2025
Mauricio Pochettino,Harry Kane,1,4,2025
Mauricio Pochettino,Lionel Messi,5,4,2024
Mauricio Pochettino,Rodri,3,4,2024
Mauricio Pochettino,Vinícius Jr,1,4,2024
Douglas Mcintyre,Lamine Yamal,5,4,2025
Douglas Mcintyre,Ousmane Dembélé,3,4,2025
Douglas Mcintyre,Raphinha,1,4,2025
Douglas Mcintyre,Erling Haaland,5,4,2023
Douglas Mcintyre,Lionel Messi,3,4,2023
Douglas Mcintyre,Kylian Mbappé,1,4,2023
Douglas Mcintyre,Jude Bellingham,5,4,2024
Douglas Mcintyre,Rodri,3,4,2024
Douglas Mcintyre,Vinícius Jr,1,4,2024
Christian Mate Pulisic,Lionel Messi,5,4,2023
Christian Mate Pulisic,Kylian Mbappé,3,4,2023
Christian Mate Pulisic,Erling Haaland,1,4,2023
Gregg Berhalter,Rodri,5,4,2023
Gregg Berhalter,Erling Haaland,3,4,2023
Gregg Berhalter,Lionel Messi,1,4,2023
Edson Omar Alvarez Velazquez,Ousmane Dembélé,5,4,2025
Edson Omar Alvarez Velazquez,Harry Kane,3,4,2025
Edson Omar Alvarez Velazquez,Kylian Mbappé,1,4,2025
Edson Omar Alvarez Velazquez,Vinícius Jr,5,4,2024
Edson Omar Alvarez Velazquez,Rodri,3,4,2024
Edson Omar Alvarez Velazquez,Erling Haaland,1,4,2024
Javier Aguirre,Kylian Mbappé,5,4,2025
Javier Aguirre,Mohamed Salah,3,4,2025
Javier Aguirre,Achraf Hakimi,1,4,2025
Javier Aguirre,Lionel Messi,5,4,2024
Javier Aguirre,Rodri,3,4,2024
Javier Aguirre,Lamine Yamal,1,4,2024
Francisco Javier González,Ousmane Dembélé,5,4,2025
Francisco Javier González,Vitinha,3,4,2025
Francisco Javier González,Lamine Yamal,1,4,2025
Francisco Javier González,Erling Haaland,5,4,2023
Francisco Javier González,Bernardo Silva,3,4,2023
Francisco Javier González,Kevin De Bruyne,1,4,2023
Francisco Javier González,Vinícius Jr,5,4,2024
Francisco Javier González,Rodri,3,4,2024
Francisco Javier González,Dani Carvajal,1,4,2024
Guillermo Ochoa,Lionel Messi,5,4,2023
Guillermo Ochoa,Kylian Mbappé,3,4,2023
Guillermo Ochoa,Erling Haaland,1,4,2023
Jaime Arturo Lozano Espin,Erling Haaland,5,4,2023
Jaime Arturo Lozano Espin,Julián Álvarez,3,4,2023
Jaime Arturo Lozano Espin,İlkay Gündoğan,1,4,2023
Jose Gimenez,Ousmane Dembélé,5,4,2025
Jose Gimenez,Vitinha,3,4,2025
Jose Gimenez,Raphinha,1,4,2025
Jose Gimenez,Federico Valverde,5,1,2024
Jose Gimenez,Rodri,3,4,2024
Jose Gimenez,Erling Haaland,1,4,2024
Marcelo Bielsa,Kylian Mbappé,5,4,2025
Marcelo Bielsa,Raphinha,3,4,2025
Marcelo Bielsa,Pedri,1,4,2025
Marcelo Bielsa,Lionel Messi,5,4,2023
Marcelo Bielsa,Erling Haaland,3,4,2023
Marcelo Bielsa,İlkay Gündoğan,1,4,2023
Marcelo Bielsa,Lionel Messi,5,4,2024
Marcelo Bielsa,Rodri,3,4,2024
Marcelo Bielsa,Federico Valverde,1,1,2024
Rómulo Martínez Chenlo,Lamine Yamal,5,4,2025
Rómulo Martínez Chenlo,Vitinha,3,4,2025
Rómulo Martínez Chenlo,Achraf Hakimi,1,4,2025
Rómulo Martínez Chenlo,Lionel Messi,5,4,2023
Rómulo Martínez Chenlo,Erling Haaland,3,4,2023
Rómulo Martínez Chenlo,Declan Rice,1,4,2023
Rómulo Martínez Chenlo,Federico Valverde,5,1,2024
Rómulo Martínez Chenlo,Lamine Yamal,3,4,2024
Rómulo Martínez Chenlo,Vinícius Jr,1,4,2024
Granit Xhaka,Ousmane Dembélé,5,4,2025
Granit Xhaka,Achraf Hakimi,3,4,2025
Granit Xhaka,Lamine Yamal,1,4,2025
Granit Xhaka,Lionel Messi,5,4,2023
Granit Xhaka,Erling Haaland,3,4,2023
Granit Xhaka,Kylian Mbappé,1,4,2023
Granit Xhaka,Florian Wirtz,5,2,2024
Granit Xhaka,Toni Kroos,3,4,2024
Granit Xhaka,Vinícius Jr,1,4,2024
Murat Yakin,Lamine Yamal,5,4,2025
Murat Yakin,Ousmane Dembélé,3,4,2025
Murat Yakin,Kylian Mbappé,1,4,2025
Murat Yakin,Lionel Messi,5,4,2023
Murat Yakin,Julián Álvarez,3,4,2023
Murat Yakin,Kylian Mbappé,1,4,2023
Murat Yakin,Florian Wirtz,5,4,2024
Murat Yakin,Federico Valverde,3,4,2024
Murat Yakin,Lamine Yamal,1,4,2024
Tobias Wedermann,Ousmane Dembélé,5,4,2025
Tobias Wedermann,Mohamed Salah,3,4,2025
Tobias Wedermann,Vitinha,1,4,2025
