id;name;role;country;club
409;Vince Rugari;3;Australia;NA
410;Stefan Grüneis;3;Austria;NA
411;Rasim Mövsümov;3;Azerbaijan;NA
412;Abdulla Ashoor;3;Bahrain;NA
413;Zaman Rejwan Uz;3;Bangladesh;NA
414;Sergey Nikolaev;3;Belarus;NA
415;Terreur Kristof;3;Belgium;NA
416;Mehluli Sibanda;3;Bermuda;NA
417;Thinley Namgay;3;Bhutan;NA
418;Rainer Durán Urquizu;3;Bolivia;NA
419;Emir Deli?;3;Bosnia and Herzegovina;NA
420;Gaone Pearl Kerileng;3;Botswana;NA
421;Carlos Eduardo Mansur;3;Brazil;NA
422;Boyan Boychev;3;Bulgaria;NA
423;Siriki Dramé;3;Burkina Faso;NA
424;Liliane Nshimirimana;3;Burundi;NA
425;Chamroeun Ung;3;Cambodia;NA
426;Angu Lesley Ngwa Akonwi;3;Cameroon;NA
427;Neil Davidson;3;Canada;NA
428;Bienvenu Elie Gbelo;3;Central African Republic;NA
429;Salahadine Mahamat Sabour;3;Chad;NA
430;Danilo Díaz;3;Chile;NA
431;Dexing Ma;3;China PR;NA
432;Chihwei Hung;3;Chinese Taipei;NA
433;Fernando Diego Rueda Medina;3;Colombia;NA
434;Elie-Dine Djouma;3;Comoros;NA
435;Michel Tobo;3;Congo DR;NA
436;Rashneel Kumar Madhur;3;Cook Islands;NA
437;David Goldberg;3;Costa Rica;NA
438;Malick Traoré;3;Côte d'Ivoire;NA
439;Robert Matteoni;3;Croatia;NA
440;Yasiel Cancio;3;Cuba;NA
441;Carl Ruiter;3;Curaçao;NA
442;Andreas Violaris;3;Cyprus;NA
443;Jan Pali?ka;3;Czechia;NA
444;Klaus Egelund;3;Denmark;NA
445;Yacin Ahmed Moussa;3;Djibouti;NA
446;Garvin Richards;3;Dominica;NA
447;Jorge Rolando `;3;Dominican Republic;NA
448;Tito Rosales Cox;3;Ecuador;NA
449;Hady Elmadany;3;Egypt;NA
450;Josué Valiente;3;El Salvador;NA
451;John Cross;3;England;NA
452;Yolanda Aseco Esono Mangue;3;Equatorial Guinea;NA
453;Michael Seium;3;Eritrea;NA
