name,role,country,club
Miguel Angel Gamondi,2,Tanzania,NA
Anthony Hudson,2,Thailand,NA
José Pedro Alves Salazar,2,Timor-Leste,NA
Daré Nibombe,2,Togo,NA
Kilifi Solia Uele,2,Tonga,NA
Dwight Yorke,2,Trinidad and Tobago,NA
Trabelsi Sami,2,Tunisia,NA
Vincenzo Montella,2,Türkiye,NA
Rovshen Meredov,2,Turkmenistan,NA
Aaron Lawrence,2,Turks and Caicos Islands,NA
Put Paul Joseph F,2,Uganda,NA
Serhii Rebrov,2,Ukraine,NA
Olaroiu Cosmin,2,United Arab Emirates,NA
Marcelo Bielsa,2,Uruguay,NA
Terrence Jones,2,US Virgin Islands,NA
Mauricio Pochettino,2,USA,NA
Fabio Cannavaro,2,Uzbekistan,NA
Lars Hopp,2,Vanuatu,NA
Oswaldo Vizcarrondo,2,Venezuela,NA
Sang Sik Kim,2,Vietnam,NA
Noureddine Ould Ali,2,Yemen,NA
Moses Sichone,2,Zambia,NA
Mario Marinica,2,Zimbabwe,NA
Sayer Zaland,3,Afghanistan,NA
Endi Tufa,3,Albania,NA
Mohammed Rachid Belarbi,3,Algeria,NA
Victor Duaso Saludas,3,Andorra,NA
Geraldo Quiala,3,Angola,NA
Claudio Mauri,3,Argentina,NA
Robert Gasparyan,3,Armenia,NA
Andrew Vrolijk,3,Aruba,NA
Vince Rugari,3,Australia,NA
Stefan Grüneis,3,Austria,NA
Rasim Mövsümov,3,Azerbaijan,NA
Abdulla Ashoor,3,Bahrain,NA
Zaman Rejwan Uz,3,Bangladesh,NA
Sergey Nikolaev,3,Belarus,NA
Terreur Kristof,3,Belgium,NA
Mehluli Sibanda,3,Bermuda,NA
Thinley Namgay,3,Bhutan,NA
Rainer Durán Urquizu,3,Bolivia,NA
Emir Delić,3,Bosnia and Herzegovina,NA
Gaone Pearl Kerileng,3,Botswana,NA
Carlos Eduardo Mansur,3,Brazil,NA
Boyan Boychev,3,Bulgaria,NA
Siriki Dramé,3,Burkina Faso,NA
Liliane Nshimirimana,3,Burundi,NA
Chamroeun Ung,3,Cambodia,NA
Angu Lesley Ngwa Akonwi,3,Cameroon,NA
Neil Davidson,3,Canada,NA
Bienvenu Elie Gbelo,3,Central African Republic,NA
Salahadine Mahamat Sabour,3,Chad,NA
Danilo Díaz,3,Chile,NA
Dexing Ma,3,China PR,NA
Chihwei Hung,3,Chinese Taipei,NA
Fernando Diego Rueda Medina,3,Colombia,NA
Elie-Dine Djouma,3,Comoros,NA
Michel Tobo,3,Congo DR,NA
Rashneel Kumar Madhur,3,Cook Islands,NA
David Goldberg,3,Costa Rica,NA
Malick Traoré,3,Côte d'Ivoire,NA
Robert Matteoni,3,Croatia,NA
Yasiel Cancio,3,Cuba,NA
Carl Ruiter,3,Curaçao,NA
Andreas Violaris,3,Cyprus,NA
Jan Palička,3,Czechia,NA
Klaus Egelund,3,Denmark,NA
Yacin Ahmed Moussa,3,Djibouti,NA
Garvin Richards,3,Dominica,NA
Jorge Rolando `,3,Dominican Republic,NA
Tito Rosales Cox,3,Ecuador,NA
Hady Elmadany,3,Egypt,NA
Josué Valiente,3,El Salvador,NA
John Cross,3,England,NA
Yolanda Aseco Esono Mangue,3,Equatorial Guinea,NA
Michael Seium,3,Eritrea,NA
Aet Süvari,3,Estonia,NA
Ashmond Innocent Nzima,3,Eswatini,NA
Hussen Abdulkeni,3,Ethiopia,NA
Símun Christian Olsen,3,Faroe Islands,NA
Anssi Karjalainen,3,Finland,NA
Cyrille De La Morinerie,3,France,NA
Momodou Bah,3,Gambia,NA
Namuka Kvaratskhelia,3,Georgia,NA
Georg Holzner,3,Germany,NA
Gary Al-Smith,3,Ghana,NA
Stephen Ignacio,3,Gibraltar,NA
Nikolaos Kotsis,3,Greece,NA
Michael Bascombe,3,Grenada,NA
Joseph Santo Tomas,3,Guam,NA
Carlos Marín,3,Guatemala,NA
Alpha Mady Touré,3,Guinea,NA
Rawle Toney,3,Guyana,NA
Lutherson Léon,3,Haiti,NA
Gonzalo Carías,3,Honduras,NA
Ho Yin Kwok,3,Hong Kong China,NA
György Szöllösi,3,Hungary,NA
Vidir Sigurdsson,3,Iceland,NA
Dhiman Sarkar,3,India,NA
Muhamad Rais Adnan,3,Indonesia,NA
Masoud Hossein,3,IR Iran,NA
Arshed Alsaedi,3,Iraq,NA
Uri Dagon,3,Israel,NA
Pierluigi Pardo,3,Italy,NA
Brian Lewis,3,Jamaica,NA
Hideo Tamaru,3,Japan,NA
Taiser Alomiri,3,Jordan,NA
Geniy Tulegenov,3,Kazakhstan,NA
Eric Njiru,3,Kenya,NA
Gun Lee,3,Korea Republic,NA
Lavdim Pireva,3,Kosovo,NA
Abdulaziz Jassim,3,Kuwait,NA
Bakyt Shukuraliev,3,Kyrgyz Republic,NA
Ekasanh Thipphachack,3,Laos,NA
Ilvars Koscinkevics,3,Latvia,NA
Hachem Makkeh,3,Lebanon,NA
Moorosi Simon Tsiane,3,Lesotho,NA
Anthony Kokoi,3,Liberia,NA
Haithem Elamari,3,Libya,NA
Jan Stärker,3,Liechtenstein,NA
Mindaugas Augustis,3,Lithuania,NA
Christelle Diederich,3,Luxembourg,NA
Samson Randrianiheriniaina,3,Madagascar,NA
Peter Kanjere,3,Malawi,NA
Ajitpal Singh Dhaliwal,3,Malaysia,NA
Azzam Ali,3,Maldives,NA
Boubacar Diakite,3,Mali,NA
Domenic Aquilina,3,Malta,NA
Brahim Sow Deïna,3,Mauritania,NA
Francisco Javier González,3,Mexico,NA
Alexandru Fosa,3,Moldova,NA
Enkhtuvshin Tserensodnom,3,Mongolia,NA
Danilo Mitrovic,3,Montenegro,NA
Basil Chambers,3,Montserrat,NA
Jalal Bounouar,3,Morocco,NA
João Arnaldo Carlija Chivale,3,Mozambique,NA
Sheefeni Nikodemus,3,Namibia,NA
Bikram Thapa,3,Nepal,NA
Jaap De Groot,3,Netherlands,NA
Martin Charmasson,3,New Caledonia,NA
Michael Burgess,3,New Zealand,NA
Jose Nectali Mora Zeledon,3,Nicaragua,NA
Abdel Malik Koudizé,3,Niger,NA
