from,to,vote,relationship,year,weight
Oswaldo Vizcarrondo,Ousmane Dembélé,5,4,2025,NA
Sang Sik Kim,Cole Palmer,5,4,2025,NA
Noureddine Ouldali,Achraf Hakimi,5,4,2025,NA
Moses Sichone,Ousmane Dembélé,5,4,2025,NA
Mario Marinica,Harry Kane,5,4,2025,NA
Sayer Zaland,Ousmane Dembélé,5,4,2025,NA
Endi Tufa,Ousmane Dembélé,5,4,2025,NA
Mohammed Rachid Belarbi,Raphinha,5,4,2025,NA
Victor Duaso Saludas,Lamine Yamal,5,4,2025,NA
Geraldo Quiala,Lamine Yamal,5,4,2025,NA
Claudio Mauri,Lamine Yamal,5,4,2025,NA
Robert Gasparyan,Raphinha,5,4,2025,NA
Andrew Vrolijk,Ousmane Dembélé,5,4,2025,NA
Vince Rugari,Harry Kane,5,4,2025,NA
Stefan Grüneis,Ousmane Dembélé,5,4,2025,NA
Rasim Mövsümov,Ousmane Dembélé,5,4,2025,NA
Abdulla Ashoor,Mohamed Salah,5,4,2025,NA
Zaman Rejwan Uz,Ousmane Dembélé,5,4,2025,NA
Sergey Nikolaev,Ousmane Dembélé,5,4,2025,NA
Kristof Terreur,Lamine Yamal,5,4,2025,NA
Mehluli Sibanda,Ousmane Dembélé,5,4,2025,NA
Thinley Namgay,Ousmane Dembélé,5,4,2025,NA
Rainer Durán Urquizu,Kylian Mbappé,5,4,2025,NA
Emir Delić,Lamine Yamal,5,4,2025,NA
Gaone Pearl Kerileng,Ousmane Dembélé,5,4,2025,NA
Carlos Eduardo Mansur,Lamine Yamal,5,4,2025,NA
Boyan Boychev,Ousmane Dembélé,5,4,2025,NA
Siriki Dramé,Achraf Hakimi,5,4,2025,NA
Liliane Nshimirimana,Ousmane Dembélé,5,4,2025,NA
Chamroeun Ung,Ousmane Dembélé,5,4,2025,NA
Angu Lesley Ngwa Akonwi,Ousmane Dembélé,5,4,2025,NA
Neil Davidson,Ousmane Dembélé,5,4,2025,NA
Bienvenu Elie Gbelo,Kylian Mbappé,5,4,2025,NA
Salahadine Mahamat Sabour,Ousmane Dembélé,5,4,2025,NA
Danilo Díaz,Vitinha,5,4,2025,NA
Dexing Ma,Ousmane Dembélé,5,4,2025,NA
Chihwei Hung,Ousmane Dembélé,5,4,2025,NA
Diego Rueda ,Ousmane Dembélé,5,4,2025,NA
Djouma Elie-Dine,Ousmane Dembélé,5,4,2025,NA
Michel Tobo,Raphinha,5,4,2025,NA
Rashneel Kumar Madhur,Ousmane Dembélé,5,4,2025,NA
David Goldberg,Ousmane Dembélé,5,4,2025,NA
Malick Traoré,Ousmane Dembélé,5,4,2025,NA
Robert Matteoni,Ousmane Dembélé,5,4,2025,NA
Yasiel Cancio,Ousmane Dembélé,5,4,2025,NA
