from;to;weight;relationship;year;;
Aet Süvari; Ousmane Dembélé;5;4;2025;;
Ashmond Innocent Nzima;   Cole Palmer ;5;4;2025;;
Hussen Abdulkeni; Ousmane Dembélé;5;4;2025;;
Símun Christian Olsen; Mohamed Salah ;5;4;2025;;
Anssi Karjalainen; Ousmane Dembélé;5;4;2025;;
Cyrille De La Morinerie; Ousmane Dembélé;5;1;2025;;
Momodou Bah; Ousmane Dembélé;5;4;2025;;
Namuka Kvaratskhelia; Ousmane Dembélé;5;4;2025;;
Georg Holzner; Ousmane Dembélé;5;4;2025;;
Gary Al-Smith; Ousmane Dembélé;5;4;2025;;
Stephen Ignacio; Mohamed Salah ;5;4;2025;;
